Cat,Subcat ,url ,page,,,,
"Cervezas, vinos y bebidas con alcohol",Cremas y licores,https://www.dia.es/cervezas-vinos-y-bebidas-con-alcohol/cremas-y-licores/c/L2129,2,,,,
"Cervezas, vinos y bebidas con alcohol",Brandy,https://www.dia.es/cervezas-vinos-y-bebidas-con-alcohol/brandy/c/L2126,1,,,,
Limpieza y hogar,Cuidado de la ropa,https://www.dia.es/limpieza-y-hogar/cuidado-de-la-ropa/c/L2170,5,,,,
Limpieza y hogar,Lavavajillas,https://www.dia.es/limpieza-y-hogar/lavavajillas/c/L2167,3,,,,
Limpieza y hogar,"Papel higiénico, de cocina, servilletas",https://www.dia.es/limpieza-y-hogar/papel-higienico-de-cocina-servilletas/c/L2168,3,,,,
Limpieza y hogar,Utensilios de limpieza,https://www.dia.es/limpieza-y-hogar/utensilios-de-limpieza/c/L2159,4,,,,
Limpieza y hogar,Bolsas de basura,https://www.dia.es/limpieza-y-hogar/bolsas-de-basura/c/L2160,1,,,,
Limpieza y hogar,Lejía y otros químicos,https://www.dia.es/limpieza-y-hogar/lejia-y-otros-quimicos/c/L2161,2,,,,
Limpieza y hogar,Cristales y suelos,https://www.dia.es/limpieza-y-hogar/cristales-y-suelos/c/L2162,1,,,,
Limpieza y hogar,Limpia muebles y multiusos,https://www.dia.es/limpieza-y-hogar/limpia-muebles-y-multiusos/c/L2163,3,,,,
Limpieza y hogar,"Limpieza baño y WC
",https://www.dia.es/limpieza-y-hogar/limpieza-bano-y-wc/c/L2164,2,,,,
Limpieza y hogar,Limpieza cocina y vitrocerámica,https://www.dia.es/limpieza-y-hogar/limpieza-cocina-y-vitroceramica/c/L2166,1,,,,
Limpieza y hogar,"Papel de aluminio, horno y film",https://www.dia.es/limpieza-y-hogar/papel-de-aluminio-horno-y-film/c/L2169,1,,,,
Limpieza y hogar,Insecticidas,https://www.dia.es/limpieza-y-hogar/insecticidas/c/L2173,2,,,,
Limpieza y hogar,Ambientadores,https://www.dia.es/limpieza-y-hogar/ambientadores/c/L2226,4,,,,
Limpieza y hogar,Calzado,https://www.dia.es/limpieza-y-hogar/calzado/c/L2171,1,,,,
Limpieza y hogar,"Útiles del hogar, pilas, bombillas",https://www.dia.es/limpieza-y-hogar/utiles-del-hogar-pilas-bombillas/c/L2209,1,,,,
"Perfumería, higiene, salud",Gel de ducha y esponjas,https://www.dia.es/perfumeria-higiene-salud/gel-de-ducha-y-esponjas/c/L2211,4,,,,
"Perfumería, higiene, salud",Cuidado bucal,https://www.dia.es/perfumeria-higiene-salud/cuidado-bucal/c/L2151,5,,,,
"Perfumería, higiene, salud",Desodorantes,https://www.dia.es/perfumeria-higiene-salud/desodorantes/c/L2154,5,,,,
"Perfumería, higiene, salud",Champú,https://www.dia.es/perfumeria-higiene-salud/champu/c/L2144,4,,,,
"Perfumería, higiene, salud",Acondicionadores y mascarillas,https://www.dia.es/perfumeria-higiene-salud/acondicionadores-y-mascarillas/c/L2145,3,,,,
"Perfumería, higiene, salud",Espumas y fijadores,https://www.dia.es/perfumeria-higiene-salud/espumas-y-fijadores/c/L2146,1,,,,
